Date,Open,High,Low,Close,Adj Close,Volume
2021-09-06,0.721537,0.723620,0.721500,0.721540,0.721540,0
2021-09-07,0.722530,0.726210,0.721660,0.722570,0.722570,0
2021-09-08,0.725700,0.728410,0.725100,0.725700,0.725700,0
2021-09-09,0.726400,0.727061,0.721810,0.726340,0.726340,0
2021-09-10,0.722600,0.722840,0.720000,0.722560,0.722560,0
2021-09-13,0.722530,0.724750,0.721900,0.722500,0.722500,0
2021-09-14,0.722480,0.723000,0.718740,0.722640,0.722640,0
2021-09-15,0.724190,0.725000,0.721920,0.724100,0.724100,0
2021-09-16,0.722180,0.726500,0.722000,0.722080,0.722080,0
2021-09-17,0.724670,0.727610,0.723900,0.724795,0.724795,0
2021-09-20,0.728400,0.732740,0.728340,0.728350,0.728350,0
2021-09-21,0.732030,0.733020,0.730270,0.731920,0.731920,0
2021-09-22,0.732100,0.734330,0.731100,0.732200,0.732200,0
2021-09-23,0.734210,0.734600,0.727300,0.734370,0.734370,0
2021-09-24,0.728760,0.732090,0.727924,0.728730,0.728730,0
2021-09-27,0.731560,0.732100,0.728400,0.731580,0.731580,0
2021-09-28,0.729874,0.739350,0.728980,0.729840,0.729840,0
2021-09-29,0.738470,0.744930,0.737760,0.738430,0.738430,0
2021-09-30,0.744810,0.745300,0.739800,0.744800,0.744800,0
2021-10-01,0.742410,0.744250,0.736730,0.742400,0.742400,0
2021-10-04,0.736870,0.738900,0.733150,0.736870,0.736870,0
2021-10-05,0.734880,0.736060,0.732600,0.734890,0.734890,0
2021-10-06,0.733910,0.738300,0.733600,0.733800,0.733800,0
2021-10-07,0.735690,0.736820,0.733280,0.735720,0.735720,0
2021-10-08,0.734240,0.736110,0.732400,0.734200,0.734200,0
2021-10-11,0.734310,0.734600,0.731300,0.734400,0.734400,0
2021-10-12,0.735680,0.736900,0.733280,0.735800,0.735800,0
2021-10-13,0.736530,0.736540,0.732730,0.736440,0.736440,0
2021-10-14,0.731490,0.732120,0.728100,0.731570,0.731570,0
2021-10-15,0.731600,0.731600,0.726030,0.731590,0.731590,0
2021-10-18,0.726740,0.729350,0.726530,0.726660,0.726660,0
